Year,Country,Average_Temperature,Average_Rainfall,Item,Yield,Pesticides
1997,Ghana,26.58,1187.0,Sweet potatoes,13593,502.0
1997,Ghana,26.58,1187.0,Yams,128490,502.0
1998,Ghana,27.28,1187.0,Cassava,113891,297.78
1998,Ghana,27.28,1187.0,Maize,14850,297.78
1998,Ghana,27.28,1187.0,Plantains and others,77780,297.78
1998,Ghana,27.28,1187.0,"Rice, paddy",14847,297.78
1998,Ghana,27.28,1187.0,Sorghum,11656,297.78
1998,Ghana,27.28,1187.0,Sweet potatoes,13617,297.78
1998,Ghana,27.28,1187.0,Yams,128148,297.78
1999,Ghana,26.74,1187.0,Cassava,122528,114.13
1999,Ghana,26.74,1187.0,Maize,14557,114.13
1999,Ghana,26.74,1187.0,Plantains and others,81007,114.13
1999,Ghana,26.74,1187.0,"Rice, paddy",19919,114.13
1999,Ghana,26.74,1187.0,Sorghum,9689,114.13
1999,Ghana,26.74,1187.0,Sweet potatoes,13846,114.13
1999,Ghana,26.74,1187.0,Yams,133871,114.13
2000,Ghana,26.83,1187.0,Cassava,122812,81.63
2000,Ghana,26.83,1187.0,Maize,14578,81.63
2000,Ghana,26.83,1187.0,Plantains and others,79071,81.63
2000,Ghana,26.83,1187.0,"Rice, paddy",21589,81.63
2000,Ghana,26.83,1187.0,Sorghum,9692,81.63
2000,Ghana,26.83,1187.0,Sweet potatoes,13953,81.63
2000,Ghana,26.83,1187.0,Yams,128847,81.63
2001,Ghana,26.76,1187.0,Cassava,123436,82.0
2001,Ghana,26.76,1187.0,Maize,13150,82.0
2001,Ghana,26.76,1187.0,Plantains and others,78227,82.0
2001,Ghana,26.76,1187.0,"Rice, paddy",20185,82.0
2001,Ghana,26.76,1187.0,Sorghum,8499,82.0
2001,Ghana,26.76,1187.0,Sweet potatoes,14066,82.0
2001,Ghana,26.76,1187.0,Yams,123414,82.0
2002,Ghana,26.92,1187.0,Cassava,122489,89.88
2002,Ghana,26.92,1187.0,Maize,14900,89.88
2002,Ghana,26.92,1187.0,Plantains and others,82297,89.88
2002,Ghana,26.92,1187.0,"Rice, paddy",22799,89.88
2002,Ghana,26.92,1187.0,Sorghum,9375,89.88
2002,Ghana,26.92,1187.0,Sweet potatoes,14071,89.88
2002,Ghana,26.92,1187.0,Yams,129996,89.88
2004,Ghana,27.02,1187.0,Cassava,124228,134.25
2004,Ghana,27.02,1187.0,Maize,15794,134.25
2004,Ghana,27.02,1187.0,Plantains and others,84670,134.25
2004,Ghana,27.02,1187.0,"Rice, paddy",20253,134.25
2004,Ghana,27.02,1187.0,Sorghum,9627,134.25
2004,Ghana,27.02,1187.0,Sweet potatoes,14259,134.25
2004,Ghana,27.02,1187.0,Yams,125220,134.25
2005,Ghana,27.06,1187.0,Cassava,127560,166.16
2005,Ghana,27.06,1187.0,Maize,15613,166.16
2005,Ghana,27.06,1187.0,Plantains and others,96276,166.16
2005,Ghana,27.06,1187.0,"Rice, paddy",23917,166.16
2005,Ghana,27.06,1187.0,Sorghum,10000,166.16
2005,Ghana,27.06,1187.0,Sweet potatoes,13869,166.16
2005,Ghana,27.06,1187.0,Yams,108072,166.16
2006,Ghana,27.1,1187.0,Cassava,122000,771.58
2006,Ghana,27.1,1187.0,Maize,14994,771.58
2006,Ghana,27.1,1187.0,Plantains and others,96990,771.58
2006,Ghana,27.1,1187.0,"Rice, paddy",20000,771.58
2006,Ghana,27.1,1187.0,Sorghum,9844,771.58
2006,Ghana,27.1,1187.0,Sweet potatoes,14765,771.58
2006,Ghana,27.1,1187.0,Yams,131938,771.58
2007,Ghana,27.16,1187.0,Cassava,127640,119.86
2007,Ghana,27.16,1187.0,Maize,15437,119.86
2007,Ghana,27.16,1187.0,Plantains and others,105924,119.86
2007,Ghana,27.16,1187.0,"Rice, paddy",17015,119.86
2007,Ghana,27.16,1187.0,Sorghum,7427,119.86
2007,Ghana,27.16,1187.0,Sweet potatoes,15242,119.86
2007,Ghana,27.16,1187.0,Yams,135233,119.86
2008,Ghana,26.98,1187.0,Cassava,135145,350.83
2008,Ghana,26.98,1187.0,Maize,17371,350.83
2008,Ghana,26.98,1187.0,Plantains and others,107039,350.83
2008,Ghana,26.98,1187.0,"Rice, paddy",22735,350.83
2008,Ghana,26.98,1187.0,Sorghum,11997,350.83
2008,Ghana,26.98,1187.0,Sweet potatoes,15759,350.83
2008,Ghana,26.98,1187.0,Yams,140831,350.83
2009,Ghana,27.14,1187.0,Cassava,138074,378.97
2009,Ghana,27.14,1187.0,Maize,16969,378.97
2009,Ghana,27.14,1187.0,Plantains and others,109659,378.97
2009,Ghana,27.14,1187.0,"Rice, paddy",24109,378.97
2009,Ghana,27.14,1187.0,Sorghum,13119,378.97
2009,Ghana,27.14,1187.0,Sweet potatoes,16326,378.97
2009,Ghana,27.14,1187.0,Yams,152555,378.97
2010,Ghana,27.57,1187.0,Cassava,154330,378.97
2010,Ghana,27.57,1187.0,Maize,18874,378.97
2010,Ghana,27.57,1187.0,Plantains and others,107868,378.97
2010,Ghana,27.57,1187.0,"Rice, paddy",27126,378.97
2010,Ghana,27.57,1187.0,Sorghum,12846,378.97
2010,Ghana,27.57,1187.0,Sweet potatoes,16904,378.97
2010,Ghana,27.57,1187.0,Yams,154841,378.97
2011,Ghana,27.11,1187.0,Cassava,160124,378.97
2011,Ghana,27.11,1187.0,Maize,16458,378.97
2011,Ghana,27.11,1187.0,Plantains and others,107574,378.97
2011,Ghana,27.11,1187.0,"Rice, paddy",23495,378.97
2011,Ghana,27.11,1187.0,Sorghum,11790,378.97
2011,Ghana,27.11,1187.0,Sweet potatoes,17687,378.97
2011,Ghana,27.11,1187.0,Yams,155906,378.97
2012,Ghana,26.86,1187.0,Cassava,167489,378.97
2012,Ghana,26.86,1187.0,Maize,18712,378.97
2012,Ghana,26.86,1187.0,Plantains and others,105443,378.97
2012,Ghana,26.86,1187.0,"Rice, paddy",25386,378.97
2012,Ghana,26.86,1187.0,Sorghum,12129,378.97
2012,Ghana,26.86,1187.0,Sweet potatoes,18243,378.97
2012,Ghana,26.86,1187.0,Yams,155717,378.97
2013,Ghana,27.24,1187.0,Cassava,182704,378.97
2013,Ghana,27.24,1187.0,Maize,17240,378.97
2013,Ghana,27.24,1187.0,Plantains and others,108397,378.97
2013,Ghana,27.24,1187.0,"Rice, paddy",26378,378.97
2013,Ghana,27.24,1187.0,Sorghum,11369,378.97
2013,Ghana,27.24,1187.0,Sweet potatoes,18243,378.97
2013,Ghana,27.24,1187.0,Yams,167820,378.97
1990,Turkey,19.22,593.0,Maize,40803,29918.0
1990,Turkey,19.22,593.0,Potatoes,224367,29918.0
1990,Turkey,19.22,593.0,"Rice, paddy",49625,29918.0
1990,Turkey,19.22,593.0,Soybeans,21892,29918.0
1990,Turkey,19.22,593.0,Wheat,21227,29918.0
1990,Turkey,10.51,593.0,Maize,40803,29918.0
1990,Turkey,10.51,593.0,Potatoes,224367,29918.0
1990,Turkey,10.51,593.0,"Rice, paddy",49625,29918.0
1990,Turkey,10.51,593.0,Soybeans,21892,29918.0
1990,Turkey,10.51,593.0,Wheat,21227,29918.0
1990,Turkey,11.91,593.0,Maize,40803,29918.0
1990,Turkey,11.91,593.0,Potatoes,224367,29918.0
1990,Turkey,11.91,593.0,"Rice, paddy",49625,29918.0
1990,Turkey,11.91,593.0,Soybeans,21892,29918.0
1990,Turkey,11.91,593.0,Wheat,21227,29918.0
1990,Turkey,14.01,593.0,Maize,40803,29918.0
1990,Turkey,14.01,593.0,Potatoes,224367,29918.0
1990,Turkey,14.01,593.0,"Rice, paddy",49625,29918.0
1990,Turkey,14.01,593.0,Soybeans,21892,29918.0
1990,Turkey,14.01,593.0,Wheat,21227,29918.0
1990,Turkey,17.94,593.0,Maize,40803,29918.0
1990,Turkey,17.94,593.0,Potatoes,224367,29918.0
1990,Turkey,17.94,593.0,"Rice, paddy",49625,29918.0
1990,Turkey,17.94,593.0,Soybeans,21892,29918.0
1990,Turkey,17.94,593.0,Wheat,21227,29918.0
1991,Turkey,18.94,593.0,Maize,42489,24343.0
1991,Turkey,18.94,593.0,Potatoes,230653,24343.0
1991,Turkey,18.94,593.0,"Rice, paddy",49505,24343.0
1991,Turkey,18.94,593.0,Soybeans,22222,24343.0
1991,Turkey,18.94,593.0,Wheat,21288,24343.0
1991,Turkey,10.37,593.0,Maize,42489,24343.0
1991,Turkey,10.37,593.0,Potatoes,230653,24343.0
1991,Turkey,10.37,593.0,"Rice, paddy",49505,24343.0
1991,Turkey,10.37,593.0,Soybeans,22222,24343.0
1991,Turkey,10.37,593.0,Wheat,21288,24343.0
1991,Turkey,11.2,593.0,Maize,42489,24343.0
1991,Turkey,11.2,593.0,Potatoes,230653,24343.0
1991,Turkey,11.2,593.0,"Rice, paddy",49505,24343.0
1991,Turkey,11.2,593.0,Soybeans,22222,24343.0
1991,Turkey,11.2,593.0,Wheat,21288,24343.0
1991,Turkey,13.21,593.0,Maize,42489,24343.0
1991,Turkey,13.21,593.0,Potatoes,230653,24343.0
1991,Turkey,13.21,593.0,"Rice, paddy",49505,24343.0
1991,Turkey,13.21,593.0,Soybeans,22222,24343.0
1991,Turkey,13.21,593.0,Wheat,21288,24343.0
1991,Turkey,17.04,593.0,Maize,42489,24343.0
1991,Turkey,17.04,593.0,Potatoes,230653,24343.0
1991,Turkey,17.04,593.0,"Rice, paddy",49505,24343.0
1991,Turkey,17.04,593.0,Soybeans,22222,24343.0
1991,Turkey,17.04,593.0,Wheat,21288,24343.0
1992,Turkey,17.68,593.0,Maize,42427,27110.0
1992,Turkey,17.68,593.0,Potatoes,236046,27110.0
1992,Turkey,17.68,593.0,"Rice, paddy",50026,27110.0
1992,Turkey,17.68,593.0,Soybeans,20652,27110.0
1992,Turkey,17.68,593.0,Wheat,20405,27110.0
1992,Turkey,9.06,593.0,Maize,42427,27110.0
1992,Turkey,9.06,593.0,Potatoes,236046,27110.0
1992,Turkey,9.06,593.0,"Rice, paddy",50026,27110.0
1992,Turkey,9.06,593.0,Soybeans,20652,27110.0
1992,Turkey,9.06,593.0,Wheat,20405,27110.0
1992,Turkey,10.77,593.0,Maize,42427,27110.0
1992,Turkey,10.77,593.0,Potatoes,236046,27110.0
1992,Turkey,10.77,593.0,"Rice, paddy",50026,27110.0
1992,Turkey,10.77,593.0,Soybeans,20652,27110.0
1992,Turkey,10.77,593.0,Wheat,20405,27110.0
1992,Turkey,13.01,593.0,Maize,42427,27110.0
1992,Turkey,13.01,593.0,Potatoes,236046,27110.0
1992,Turkey,13.01,593.0,"Rice, paddy",50026,27110.0
1992,Turkey,13.01,593.0,Soybeans,20652,27110.0
1992,Turkey,13.01,593.0,Wheat,20405,27110.0
1992,Turkey,16.91,593.0,Maize,42427,27110.0
1992,Turkey,16.91,593.0,Potatoes,236046,27110.0
1992,Turkey,16.91,593.0,"Rice, paddy",50026,27110.0
1992,Turkey,16.91,593.0,Soybeans,20652,27110.0
1992,Turkey,16.91,593.0,Wheat,20405,27110.0
1993,Turkey,18.82,593.0,Maize,45455,28042.0
1993,Turkey,18.82,593.0,Potatoes,242315,28042.0
1993,Turkey,18.82,593.0,"Rice, paddy",50176,28042.0
1993,Turkey,18.82,593.0,Soybeans,23551,28042.0
1993,Turkey,18.82,593.0,Wheat,21642,28042.0
1993,Turkey,9.96,593.0,Maize,45455,28042.0
1993,Turkey,9.96,593.0,Potatoes,242315,28042.0
1993,Turkey,9.96,593.0,"Rice, paddy",50176,28042.0
1993,Turkey,9.96,593.0,Soybeans,23551,28042.0
1993,Turkey,9.96,593.0,Wheat,21642,28042.0
1993,Turkey,11.45,593.0,Maize,45455,28042.0
1993,Turkey,11.45,593.0,Potatoes,242315,28042.0
1993,Turkey,11.45,593.0,"Rice, paddy",50176,28042.0
1993,Turkey,11.45,593.0,Soybeans,23551,28042.0
1993,Turkey,11.45,593.0,Wheat,21642,28042.0
1993,Turkey,13.32,593.0,Maize,45455,28042.0
1993,Turkey,13.32,593.0,Potatoes,242315,28042.0
1993,Turkey,13.32,593.0,"Rice, paddy",50176,28042.0
1993,Turkey,13.32,593.0,Soybeans,23551,28042.0
1993,Turkey,13.32,593.0,Wheat,21642,28042.0
1993,Turkey,17.39,593.0,Maize,45455,28042.0
1993,Turkey,17.39,593.0,Potatoes,242315,28042.0
1993,Turkey,17.39,593.0,"Rice, paddy",50176,28042.0
1993,Turkey,17.39,593.0,Soybeans,23551,28042.0
1993,Turkey,17.39,593.0,Wheat,21642,28042.0
1994,Turkey,19.76,593.0,Maize,38181,24219.0
1994,Turkey,19.76,593.0,Potatoes,229189,24219.0
1994,Turkey,19.76,593.0,"Rice, paddy",50554,24219.0
1994,Turkey,19.76,593.0,Soybeans,24138,24219.0
1994,Turkey,19.76,593.0,Wheat,17975,24219.0
1994,Turkey,11.7,593.0,Maize,38181,24219.0
1994,Turkey,11.7,593.0,Potatoes,229189,24219.0
1994,Turkey,11.7,593.0,"Rice, paddy",50554,24219.0
1994,Turkey,11.7,593.0,Soybeans,24138,24219.0
1994,Turkey,11.7,593.0,Wheat,17975,24219.0
1994,Turkey,12.83,593.0,Maize,38181,24219.0
1994,Turkey,12.83,593.0,Potatoes,229189,24219.0
1994,Turkey,12.83,593.0,"Rice, paddy",50554,24219.0
1994,Turkey,12.83,593.0,Soybeans,24138,24219.0
1994,Turkey,12.83,593.0,Wheat,17975,24219.0
1994,Turkey,14.88,593.0,Maize,38181,24219.0
1994,Turkey,14.88,593.0,Potatoes,229189,24219.0
1994,Turkey,14.88,593.0,"Rice, paddy",50554,24219.0
1994,Turkey,14.88,593.0,Soybeans,24138,24219.0
1994,Turkey,14.88,593.0,Wheat,17975,24219.0
1994,Turkey,18.35,593.0,Maize,38181,24219.0
1994,Turkey,18.35,593.0,Potatoes,229189,24219.0
1994,Turkey,18.35,593.0,"Rice, paddy",50554,24219.0
1994,Turkey,18.35,593.0,Soybeans,24138,24219.0
1994,Turkey,18.35,593.0,Wheat,17975,24219.0
1995,Turkey,19.15,593.0,Maize,37322,27328.0
1995,Turkey,19.15,593.0,Potatoes,237707,27328.0
1995,Turkey,19.15,593.0,"Rice, paddy",50045,27328.0
1995,Turkey,19.15,593.0,Soybeans,24194,27328.0
1995,Turkey,19.15,593.0,Wheat,19315,27328.0
1995,Turkey,10.93,593.0,Maize,37322,27328.0
1995,Turkey,10.93,593.0,Potatoes,237707,27328.0
1995,Turkey,10.93,593.0,"Rice, paddy",50045,27328.0
1995,Turkey,10.93,593.0,Soybeans,24194,27328.0
1995,Turkey,10.93,593.0,Wheat,19315,27328.0
1995,Turkey,12.06,593.0,Maize,37322,27328.0
1995,Turkey,12.06,593.0,Potatoes,237707,27328.0
1995,Turkey,12.06,593.0,"Rice, paddy",50045,27328.0
1995,Turkey,12.06,593.0,Soybeans,24194,27328.0
1995,Turkey,12.06,593.0,Wheat,19315,27328.0
1995,Turkey,14.14,593.0,Maize,37322,27328.0
1995,Turkey,14.14,593.0,Potatoes,237707,27328.0
1995,Turkey,14.14,593.0,"Rice, paddy",50045,27328.0
1995,Turkey,14.14,593.0,Soybeans,24194,27328.0
1995,Turkey,14.14,593.0,Wheat,19315,27328.0
1995,Turkey,17.64,593.0,Maize,37322,27328.0
1995,Turkey,17.64,593.0,Potatoes,237707,27328.0
1995,Turkey,17.64,593.0,"Rice, paddy",50045,27328.0
1995,Turkey,17.64,593.0,Soybeans,24194,27328.0
1995,Turkey,17.64,593.0,Wheat,19315,27328.0
1996,Turkey,19.47,593.0,Maize,36396,30286.0
1996,Turkey,19.47,593.0,Potatoes,235756,30286.0
1996,Turkey,19.47,593.0,"Rice, paddy",51114,30286.0
1996,Turkey,19.47,593.0,Soybeans,24390,30286.0
1996,Turkey,19.47,593.0,Wheat,19852,30286.0
1996,Turkey,11.29,593.0,Maize,36396,30286.0
1996,Turkey,11.29,593.0,Potatoes,235756,30286.0
1996,Turkey,11.29,593.0,"Rice, paddy",51114,30286.0
1996,Turkey,11.29,593.0,Soybeans,24390,30286.0
1996,Turkey,11.29,593.0,Wheat,19852,30286.0
1996,Turkey,11.92,593.0,Maize,36396,30286.0
1996,Turkey,11.92,593.0,Potatoes,235756,30286.0
1996,Turkey,11.92,593.0,"Rice, paddy",51114,30286.0
1996,Turkey,11.92,593.0,Soybeans,24390,30286.0
1996,Turkey,11.92,593.0,Wheat,19852,30286.0
1996,Turkey,13.77,593.0,Maize,36396,30286.0
1996,Turkey,13.77,593.0,Potatoes,235756,30286.0
1996,Turkey,13.77,593.0,"Rice, paddy",51114,30286.0
1996,Turkey,13.77,593.0,Soybeans,24390,30286.0
1996,Turkey,13.77,593.0,Wheat,19852,30286.0
1996,Turkey,17.49,593.0,Maize,36396,30286.0
1996,Turkey,17.49,593.0,Potatoes,235756,30286.0
1996,Turkey,17.49,593.0,"Rice, paddy",51114,30286.0
1996,Turkey,17.49,593.0,Soybeans,24390,30286.0
1996,Turkey,17.49,593.0,Wheat,19852,30286.0
1997,Turkey,18.65,593.0,Maize,38247,34431.0
1997,Turkey,18.65,593.0,Potatoes,241821,34431.0
1997,Turkey,18.65,593.0,"Rice, paddy",50005,34431.0
1997,Turkey,18.65,593.0,Soybeans,21053,34431.0
1997,Turkey,18.65,593.0,Wheat,20174,34431.0
1997,Turkey,10.13,593.0,Maize,38247,34431.0
1997,Turkey,10.13,593.0,Potatoes,241821,34431.0
1997,Turkey,10.13,593.0,"Rice, paddy",50005,34431.0
1997,Turkey,10.13,593.0,Soybeans,21053,34431.0
1997,Turkey,10.13,593.0,Wheat,20174,34431.0
1997,Turkey,11.34,593.0,Maize,38247,34431.0
1997,Turkey,11.34,593.0,Potatoes,241821,34431.0
1997,Turkey,11.34,593.0,"Rice, paddy",50005,34431.0
1997,Turkey,11.34,593.0,Soybeans,21053,34431.0
1997,Turkey,11.34,593.0,Wheat,20174,34431.0
1997,Turkey,13.16,593.0,Maize,38247,34431.0
1997,Turkey,13.16,593.0,Potatoes,241821,34431.0
1997,Turkey,13.16,593.0,"Rice, paddy",50005,34431.0
1997,Turkey,13.16,593.0,Soybeans,21053,34431.0
1997,Turkey,13.16,593.0,Wheat,20174,34431.0
1997,Turkey,17.2,593.0,Maize,38247,34431.0
1997,Turkey,17.2,593.0,Potatoes,241821,34431.0
1997,Turkey,17.2,593.0,"Rice, paddy",50005,34431.0
1997,Turkey,17.2,593.0,Soybeans,21053,34431.0
1997,Turkey,17.2,593.0,Wheat,20174,34431.0
1998,Turkey,19.92,593.0,Maize,42192,30162.0
1998,Turkey,19.92,593.0,Potatoes,258890,30162.0
1998,Turkey,19.92,593.0,"Rice, paddy",52601,30162.0
1998,Turkey,19.92,593.0,Soybeans,26087,30162.0
1998,Turkey,19.92,593.0,Wheat,22564,30162.0
1998,Turkey,11.72,593.0,Maize,42192,30162.0
1998,Turkey,11.72,593.0,Potatoes,258890,30162.0
1998,Turkey,11.72,593.0,"Rice, paddy",52601,30162.0
1998,Turkey,11.72,593.0,Soybeans,26087,30162.0
1998,Turkey,11.72,593.0,Wheat,22564,30162.0
1998,Turkey,12.56,593.0,Maize,42192,30162.0
1998,Turkey,12.56,593.0,Potatoes,258890,30162.0
1998,Turkey,12.56,593.0,"Rice, paddy",52601,30162.0
1998,Turkey,12.56,593.0,Soybeans,26087,30162.0
1998,Turkey,12.56,593.0,Wheat,22564,30162.0
1998,Turkey,14.48,593.0,Maize,42192,30162.0
1998,Turkey,14.48,593.0,Potatoes,258890,30162.0
1998,Turkey,14.48,593.0,"Rice, paddy",52601,30162.0
1998,Turkey,14.48,593.0,Soybeans,26087,30162.0
1998,Turkey,14.48,593.0,Wheat,22564,30162.0
1998,Turkey,18.08,593.0,Maize,42192,30162.0
1998,Turkey,18.08,593.0,Potatoes,258890,30162.0
1998,Turkey,18.08,593.0,"Rice, paddy",52601,30162.0
1998,Turkey,18.08,593.0,Soybeans,26087,30162.0
1998,Turkey,18.08,593.0,Wheat,22564,30162.0
1999,Turkey,20.02,593.0,Maize,44376,33089.0
1999,Turkey,20.02,593.0,Potatoes,272975,33089.0
1999,Turkey,20.02,593.0,"Rice, paddy",52321,33089.0
1999,Turkey,20.02,593.0,Soybeans,27500,33089.0
1999,Turkey,20.02,593.0,Wheat,19409,33089.0
1999,Turkey,11.69,593.0,Maize,44376,33089.0
1999,Turkey,11.69,593.0,Potatoes,272975,33089.0
1999,Turkey,11.69,593.0,"Rice, paddy",52321,33089.0
1999,Turkey,11.69,593.0,Soybeans,27500,33089.0
1999,Turkey,11.69,593.0,Wheat,19409,33089.0
1999,Turkey,13.02,593.0,Maize,44376,33089.0
1999,Turkey,13.02,593.0,Potatoes,272975,33089.0
1999,Turkey,13.02,593.0,"Rice, paddy",52321,33089.0
1999,Turkey,13.02,593.0,Soybeans,27500,33089.0
1999,Turkey,13.02,593.0,Wheat,19409,33089.0
1999,Turkey,15.0,593.0,Maize,44376,33089.0
1999,Turkey,15.0,593.0,Potatoes,272975,33089.0
1999,Turkey,15.0,593.0,"Rice, paddy",52321,33089.0
1999,Turkey,15.0,593.0,Soybeans,27500,33089.0
1999,Turkey,15.0,593.0,Wheat,19409,33089.0
1999,Turkey,18.74,593.0,Maize,44376,33089.0
1999,Turkey,18.74,593.0,Potatoes,272975,33089.0
1999,Turkey,18.74,593.0,"Rice, paddy",52321,33089.0
1999,Turkey,18.74,593.0,Soybeans,27500,33089.0
1999,Turkey,18.74,593.0,Wheat,19409,33089.0
2000,Turkey,19.33,593.0,Maize,41605,33471.0
2000,Turkey,19.33,593.0,Potatoes,263762,33471.0
2000,Turkey,19.33,593.0,"Rice, paddy",60492,33471.0
2000,Turkey,19.33,593.0,Soybeans,29667,33471.0
2000,Turkey,19.33,593.0,Wheat,22928,33471.0
2000,Turkey,10.39,593.0,Maize,41605,33471.0
2000,Turkey,10.39,593.0,Potatoes,263762,33471.0
2000,Turkey,10.39,593.0,"Rice, paddy",60492,33471.0
2000,Turkey,10.39,593.0,Soybeans,29667,33471.0
2000,Turkey,10.39,593.0,Wheat,22928,33471.0
2000,Turkey,12.03,593.0,Maize,41605,33471.0
2000,Turkey,12.03,593.0,Potatoes,263762,33471.0
2000,Turkey,12.03,593.0,"Rice, paddy",60492,33471.0
2000,Turkey,12.03,593.0,Soybeans,29667,33471.0
2000,Turkey,12.03,593.0,Wheat,22928,33471.0
2000,Turkey,14.29,593.0,Maize,41605,33471.0
2000,Turkey,14.29,593.0,Potatoes,263762,33471.0
2000,Turkey,14.29,593.0,"Rice, paddy",60492,33471.0
2000,Turkey,14.29,593.0,Soybeans,29667,33471.0
2000,Turkey,14.29,593.0,Wheat,22928,33471.0
2000,Turkey,17.97,593.0,Maize,41605,33471.0
2000,Turkey,17.97,593.0,Potatoes,263762,33471.0
2000,Turkey,17.97,593.0,"Rice, paddy",60492,33471.0
2000,Turkey,17.97,593.0,Soybeans,29667,33471.0
2000,Turkey,17.97,593.0,Wheat,22928,33471.0
2001,Turkey,20.09,593.0,Maize,40063,25539.0
2001,Turkey,20.09,593.0,Potatoes,250409,25539.0
2001,Turkey,20.09,593.0,"Rice, paddy",61017,25539.0
2001,Turkey,20.09,593.0,Soybeans,33064,25539.0
2001,Turkey,20.09,593.0,Wheat,20765,25539.0
2001,Turkey,12.32,593.0,Maize,40063,25539.0
2001,Turkey,12.32,593.0,Potatoes,250409,25539.0
2001,Turkey,12.32,593.0,"Rice, paddy",61017,25539.0
2001,Turkey,12.32,593.0,Soybeans,33064,25539.0
2001,Turkey,12.32,593.0,Wheat,20765,25539.0
2001,Turkey,13.16,593.0,Maize,40063,25539.0
2001,Turkey,13.16,593.0,Potatoes,250409,25539.0
2001,Turkey,13.16,593.0,"Rice, paddy",61017,25539.0
2001,Turkey,13.16,593.0,Soybeans,33064,25539.0
2001,Turkey,13.16,593.0,Wheat,20765,25539.0
2001,Turkey,15.11,593.0,Maize,40063,25539.0
2001,Turkey,15.11,593.0,Potatoes,250409,25539.0
2001,Turkey,15.11,593.0,"Rice, paddy",61017,25539.0
2001,Turkey,15.11,593.0,Soybeans,33064,25539.0
2001,Turkey,15.11,593.0,Wheat,20765,25539.0
2001,Turkey,18.63,593.0,Maize,40063,25539.0
2001,Turkey,18.63,593.0,Potatoes,250409,25539.0
2001,Turkey,18.63,593.0,"Rice, paddy",61017,25539.0
2001,Turkey,18.63,593.0,Soybeans,33064,25539.0
2001,Turkey,18.63,593.0,Wheat,20765,25539.0
2002,Turkey,19.54,593.0,Maize,42163,27915.0
2002,Turkey,19.54,593.0,Potatoes,262966,27915.0
2002,Turkey,19.54,593.0,"Rice, paddy",60192,27915.0
2002,Turkey,19.54,593.0,Soybeans,29412,27915.0
2002,Turkey,19.54,593.0,Wheat,21006,27915.0
2002,Turkey,10.81,593.0,Maize,42163,27915.0
2002,Turkey,10.81,593.0,Potatoes,262966,27915.0
2002,Turkey,10.81,593.0,"Rice, paddy",60192,27915.0
